         378316 function calls (371821 primitive calls) in 0.718 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:164(__getitem__)
        3    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:96(closegroup)
      207    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      100    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_compile.py:536(_compile_info)
       78    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/function_base.py:244(iterable)
      100    0.000    0.000    0.000    0.000 /mnt/c/Users/mi21309/OneDrive - University of Bristol/Documents/Programs/retikulos/retikulos.py:564(<lambda>)
       14    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:249(match)
      400    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2251(_any_dispatcher)
        3    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_compile.py:276(_optimize_charset)
      200    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/shape_base.py:1243(<genexpr>)
      200    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/shape_base.py:1253(<genexpr>)
       78    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       78    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x55b9fb481740}
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/mi21309/OneDrive - University of Bristol/Documents/Programs/retikulos/retikulos.py:749(cleanup_deads)
      300    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/contextlib.py:63(_recreate_cm)
        1    0.000    0.000    0.000    0.000 <stdin>:1(<module>)
       78    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/scipy/_lib/_bunch.py:201(_get)
        4    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      234    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3296(_mean_dispatcher)
        5    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:355(_escape)
       16    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:233(__next)
      156    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:344(<genexpr>)
       12    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:254(get)
       78    0.000    0.000    0.000    0.000 {method 'conj' of 'numpy.ndarray' objects}
       78    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:25(_maybe_view_as_subclass)
        1    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
      2/1    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_compile.py:461(_get_literal_prefix)
        3    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       78    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/core/multiarray.py:716(dot)
       78    0.000    0.000    0.000    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_compile.py:423(_simple)
        3    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:84(opengroup)
      100    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/shape_base.py:1167(_tile_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/enum.py:977(__and__)
      101    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1823(_nonzero_dispatcher)
       78    0.000    0.000    0.000    0.000 {method '__exit__' of 'numpy.nditer' objects}
       11    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:286(tell)
      100    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/function_base.py:4306(_delete_dispatcher)
        3    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
       16    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:160(__len__)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       78    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/function_base.py:276(_average_dispatcher)
       78    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:362(_broadcast_to_dispatcher)
       78    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/lib/function_base.py:2270(_cov_dispatcher)
       78    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2612(_amax_dispatcher)
       78    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        8    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:172(append)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/mi21309/OneDrive - University of Bristol/Documents/Programs/retikulos/retikulos.py:752(<listcomp>)
        5    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/rlcompleter.py:97(_callable_postfix)
       12    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       78    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/core/multiarray.py:644(result_type)
        8    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.generic' objects}
        2    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/enum.py:358(__call__)
       78    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2737(_amin_dispatcher)
        8    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_compile.py:492(_get_charset_prefix)
        4    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        5    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:921(fix_flags)
        2    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_compile.py:595(isstring)
        5    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:76(__init__)
        2    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/enum.py:670(__new__)
        4    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_parse.py:168(__setitem__)
        3    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/sre_compile.py:453(_get_iscased)
        4    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        2    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 /home/win10/miniconda3/envs/biopaiton/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3195(_around_dispatcher)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)


